==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:32767
  OID Table root:   [0x11610, 0x11611, 0x11612, 0x11613]
  OID Table phys:   [0x1610, 0x1611, 0x1612, 0x1613]

Total objects: 230

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
    Key (raw):  00000000000000004005000000000000
    VLCN tuple: [0x10a20, 0x10a21, 0x10a22, 0x10a23]
    PLCN tuple: [0xa20, 0xa21, 0xa22, 0xa23]
    Absolute:   0x1a20000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x1372 0x1

  OID 0x541 — Reparse Point Index (dup)
    Key (raw):  00000000000000004105000000000000
    VLCN tuple: [0x11234, 0x11235, 0x11236, 0x11237]
    PLCN tuple: [0x1234, 0x1235, 0x1236, 0x1237]
    Absolute:   0x2234000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x1372 0x1

  OID 0x600 — Root Directory
    Key (raw):  00000000000000000006000000000000
    VLCN tuple: [0x12008, 0x12009, 0x1200a, 0x1200b]
    PLCN tuple: [0x2008, 0x2009, 0x200a, 0x200b]
    Absolute:   0x3008000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x1383 0x1
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x701 — Directory/File (0x701)
    Key (raw):  00000000000000000107000000000000
    VLCN tuple: [0x13818, 0x13819, 0x1381a, 0x1381b]
    PLCN tuple: [0x3818, 0x3819, 0x381a, 0x381b]
    Absolute:   0x4818000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x44d 0x1
    Extra bytes (8):
    00000050  11 01 00 00 00 00 00 00                           ........

  OID 0x702 — Directory/File (0x702)
    Key (raw):  00000000000000000207000000000000
    VLCN tuple: [0x1360c, 0x1360d, 0x1360e, 0x1360f]
    PLCN tuple: [0x360c, 0x360d, 0x360e, 0x360f]
    Absolute:   0x460c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9da 0x1
    Extra bytes (8):
    00000050  17 00 00 00 00 00 00 00                           ........

  OID 0x703 — Directory/File (0x703)
    Key (raw):  00000000000000000307000000000000
    VLCN tuple: [0x11608, 0x11609, 0x1160a, 0x1160b]
    PLCN tuple: [0x1608, 0x1609, 0x160a, 0x160b]
    Absolute:   0x2608000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9da 0x1
    Extra bytes (8):
    00000050  14 00 00 00 00 00 00 00                           ........

  OID 0x704 — Directory/File (0x704)
    Key (raw):  00000000000000000407000000000000
    VLCN tuple: [0x12e2c, 0x12e2d, 0x12e2e, 0x12e2f]
    PLCN tuple: [0x2e2c, 0x2e2d, 0x2e2e, 0x2e2f]
    Absolute:   0x3e2c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9da 0x1
    Extra bytes (8):
    00000050  0e 00 00 00 00 00 00 00                           ........

  OID 0x705 — Directory/File (0x705)
    Key (raw):  00000000000000000507000000000000
    VLCN tuple: [0x13c0c, 0x13c0d, 0x13c0e, 0x13c0f]
    PLCN tuple: [0x3c0c, 0x3c0d, 0x3c0e, 0x3c0f]
    Absolute:   0x4c0c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x9da 0x1
    Extra bytes (8):
    00000050  0b 00 00 00 00 00 00 00                           ........

  OID 0x707 — Directory/File (0x707)
    Key (raw):  00000000000000000707000000000000
    VLCN tuple: [0x10220, 0x10221, 0x10222, 0x10223]
    PLCN tuple: [0x220, 0x221, 0x222, 0x223]
    Absolute:   0x1220000
    Signature:  MSB+
