==============================================================================
ReFS MLog Analysis — win11refs2tspecials.raw
ReFS v3.14 | cluster_size=0x1000 | objects=230
==============================================================================

==============================================================================
MLog Control Area
==============================================================================
  Control PLCN:      0x30
  Signature:         MLog
  Format magic:      0x6dfbad7b (per-volume const, NOT a CRC — E42/#343; differs after a reformat)
  Version:           1
  Sector size:       0x1000
  UUID:              525a042c-58aa-4cca-a4f2-125f8bebb05f
  Sequence:          69
  Write counter:     2
  Flags:             0x1
  Total entries:     0
  Generation:        4995
  Data area:         0x8000 - 0x48000 (262144 clusters)
  LSN oldest:        0x1383.1
  Dispatch table:    v3.14 (44 opcodes)

==============================================================================
Data Area Summary
==============================================================================
  Total pages:       262144
  zero                 257150  ( 98.1%)
  MLog                   4994  (  1.9%)

==============================================================================
Redo Records
==============================================================================
  Total records:      7223
  Transaction starts: 2666
  Transaction commits: 0

     #  Opcode  Name                                             OID   Flags   Size
  ────  ──────  ────────────────────────────────────────  ──────────  ──────  ─────
   408  0x0007  RedoFree                                        0x11       S    312
   409  0x0007  RedoFree                                        0x11       S    312
   410  0x0007  RedoFree                                        0x11       S    312
   411  0x0007  RedoFree                                        0x11       S    312
   412  0x0007  RedoFree                                        0x11       S    312
   413  0x0007  RedoFree                                        0x11       S    312
   414  0x0007  RedoFree                                        0x11       S    312
   415  0x0007  RedoFree                                        0x11       S    312
   416  0x0007  RedoFree                                        0x11       S    312
   417  0x0007  RedoFree                                        0x11       S    312
   418  0x0007  RedoFree                                        0x11       S    312
   419  0x0007  RedoFree                                        0x11       S    312
   420  0x0007  RedoFree                                        0x11       S    312
   421  0x0007  RedoFree                                        0x11       S    312
   422  0x0007  RedoFree                                        0x11       S    312
   423  0x0007  RedoFree                                        0x11       S    312
   424  0x0007  RedoFree                                        0x11       S    312
   425  0x0007  RedoFree                                        0x11       S    312
   426  0x0007  RedoFree                                        0x11       S    312
   427  0x0007  RedoFree                                        0x11       S    312
   428  0x0007  RedoFree                                        0x11       S    312
   429  0x0007  RedoFree                                        0x11       S    312
   430  0x0007  RedoFree                                        0x11       S    312
   431  0x0007  RedoFree                                        0x11       S    312
