seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
146,2026-05-23T07:06:07.424Z,CREATE,OID 0x73d,MSI9da29.tmp,0x73d,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33026,win11refstestmftecmd.raw
147,,CONTAINER,,,,MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER,9,33027,win11refstestmftecmd.raw
148,2026-05-23T07:08:04.387Z,CREATE,OID 0x73e,MSI9da2f.tmp,0x73e,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33028,win11refstestmftecmd.raw
149,2026-05-23T07:33:58.161Z,CREATE,/test,test,0x73f,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33031,win11refstestmftecmd.raw
150,2026-05-23T07:33:58.328Z,CREATE,/test,xbpt_papa_mike_179747.ini,0x73f,INSERT_ROW INSERT_ROW SET_OBJECT,3,33033,win11refstestmftecmd.raw
151,,STREAM_UPD,/test,,0x73f,UPDATE_STREAM,1,33034,win11refstestmftecmd.raw
152,2026-05-23T07:33:58.336Z,RENAME,/test,elvis_dir_zulu_323770,0x73f,DELETE_ROW DELETE_ROW INSERT_ROW INSERT_ROW,4,33036,win11refstestmftecmd.raw
153,2026-05-23T07:33:58.355Z,CREATE,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,xbpt_yankee_archive_557245.md,0x740,INSERT_ROW INSERT_ROW SET_OBJECT,3,33037,win11refstestmftecmd.raw
154,,STREAM_UPD,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,,0x740,UPDATE_STREAM,1,33038,win11refstestmftecmd.raw
155,,STREAM_UPD,/test,,0x73f,DELETE_ROW INSERT_ROW OPEN_TABLE_FROM UPDATE_STREAM ALLOCATE UPDATE_STREAM,6,33039,win11refstestmftecmd.raw
